Country,Price,Size,Marketplace,Reference,Moy_prix_by_size
Monastir,500.0,100.0,Tunisie-annonce TN,2822609,5.0
Ben arous,450.0,120.0,Tunisie-annonce TN,2844969,3.75
Ariana,1200.0,165.0,Tunisie-annonce TN,2849711,7.2727272727272725
Nabeul,130.0,220.0,Tunisie-annonce TN,2554916,0.5909090909090909
Tunis,180.0,100.0,Tunisie-annonce TN,2857747,1.8
Banlieue Nord,450.0,40.0,Tunisie-annonce TN,2734771,11.25
Monastir,400.0,98.0,Tunisie-annonce TN,2844902,4.081632653061225
Nabeul,490.0,50.0,Tunisie-annonce TN,2541191,9.8
Banlieue Nord,150.0,120.0,Tunisie-annonce TN,2498250,1.25
Nabeul,1500.0,110.0,Tunisie-annonce TN,2857090,13.636363636363637
Tunis,150.0,60.0,Tunisie-annonce TN,2857743,2.5
Banlieue Nord,100.0,50.0,Tunisie-annonce TN,2373150,2.0
Tunis,900.0,120.0,Tunisie-annonce TN,2862178,7.5
Beja,2222.0,615.0,Tunisie-annonce TN,2862176,3.6130081300813006
Banlieue Nord,2500.0,180.0,Tunisie-annonce TN,2858126,13.88888888888889
Ben arous,650.0,110.0,Tunisie-annonce TN,2788863,5.909090909090909
Ben arous,400.0,90.0,Tunisie-annonce TN,2826736,4.444444444444445
Ben arous,550.0,100.0,Tunisie-annonce TN,2859246,5.5
Ben arous,400.0,85.0,Tunisie-annonce TN,2838469,4.705882352941177
Ariana,300.0,200.0,Tunisie-annonce TN,2838261,1.5
Ben arous,600.0,150.0,Tunisie-annonce TN,2858825,4.0
Tunis,700.0,60.0,Tunisie-annonce TN,2800149,11.666666666666666
Ben arous,400.0,80.0,Tunisie-annonce TN,2862172,5.0
Ariana,400.0,15.0,Tunisie-annonce TN,2693943,26.666666666666668
Ariana,550.0,25.0,Tunisie-annonce TN,2671331,22.0
Ben arous,600.0,110.0,Tunisie-annonce TN,2845559,5.454545454545454
