Country,Price,Size,Status,Marketplace,Reference,Moy_prix_by_size
Ariana,190000.0,112.0,V,Jumia TN,L-TN-00125283,1696.4285714285713
Nabeul,120.0,66.0,L,Tunisie-annonce TN,2569805,1.8181818181818181
Ariana,183000.0,147.0,V,Jumia TN,L-TN-00152618,1244.8979591836735
Banlieue Nord,700.0,120.0,L,Tunisie-annonce TN,2831181,5.833333333333333
Nabeul,9999.0,70.0,L,Tunisie-annonce TN,2831178,142.84285714285716
Banlieue Nord,600.0,60.0,L,Tunisie-annonce TN,2831174,10.0
Banlieue Nord,395000.0,138.0,V,Jumia TN,L-TN-00150385,2862.31884057971
Ariana,1050.0,140.0,L,Tunisie-annonce TN,2762419,7.5
Banlieue Nord,435000.0,162.0,V,Jumia TN,L-TN-00108958,2685.185185185185
Sousse,350000.0,250.0,V,Jumia TN,L-TN-00135376,1400.0
Ariana,335000.0,140.0,V,Jumia TN,L-TN-00152815,2392.8571428571427
Sousse,280000.0,220.0,V,Jumia TN,L-TN-00146444,1272.7272727272727
Nabeul,380000.0,107.0,V,Jumia TN,L-TN-00155937,3551.4018691588785
Nabeul,240000.0,157.0,V,Jumia TN,L-TN-00161594,1528.6624203821657
Ariana,328960.0,132.0,V,Jumia TN,L-TN-00132418,2492.121212121212
Banlieue Nord,450000.0,159.0,V,Jumia TN,L-TN-00087871,2830.188679245283
Ariana,288418.0,125.0,V,Jumia TN,L-TN-00152524,2307.344
Banlieue Nord,225000.0,110.0,V,Jumia TN,L-TN-00122579,2045.4545454545455
Sousse,250000.0,180.0,V,Jumia TN,L-TN-00135143,1388.888888888889
Banlieue Nord,850.0,70.0,L,Tunisie-annonce TN,2831171,12.142857142857142
Banlieue Nord,1200.0,212.0,L,Tunisie-annonce TN,2831168,5.660377358490566
Banlieue Nord,1050000.0,245.0,V,Jumia TN,L-TN-00142099,4285.714285714285
Sousse,195000.0,120.0,V,Jumia TN,L-TN-00137299,1625.0
Ariana,315000.0,162.0,V,Jumia TN,L-TN-00092747,1944.4444444444443
Sousse,520000.0,192.0,V,Jumia TN,L-TN-00109790,2708.3333333333335
Banlieue Nord,501000.0,180.0,V,Jumia TN,L-TN-00149765,2783.3333333333335
Ariana,272000.0,129.0,V,Jumia TN,L-TN-00156925,2108.5271317829456
Mannouba,130000.0,105.0,V,Jumia TN,L-TN-00132437,1238.095238095238
Sousse,180000.0,76.0,V,Jumia TN,L-TN-00107287,2368.4210526315787
Ariana,180000.0,147.0,V,Jumia TN,L-TN-00154235,1224.4897959183672
Nabeul,130000.0,65.0,V,Jumia TN,L-TN-00161281,2000.0
Sousse,280000.0,155.0,V,Jumia TN,L-TN-00139585,1806.4516129032259
Monastir,15000.0,35.0,L,Tunisie-annonce TN,2831219,428.57142857142856
Mahdia,414500.0,145.0,V,Jumia TN,L-TN-00096524,2858.6206896551726
Ariana,650.0,65.0,L,Tunisie-annonce TN,2827124,10.0
Ariana,375000.0,156.0,V,Jumia TN,L-TN-00123928,2403.846153846154
Banlieue Nord,7300.0,450.0,L,Tunisie-annonce TN,2584903,16.22222222222222
Nabeul,9999.0,110.0,L,Tunisie-annonce TN,2831218,90.9
Ben arous,450.0,104.0,L,Tunisie-annonce TN,2821834,4.326923076923077
Ariana,200.0,60.0,L,Tunisie-annonce TN,2831217,3.3333333333333335
Ariana,100.0,90.0,L,Tunisie-annonce TN,2422230,1.1111111111111112
Ariana,100.0,150.0,L,Tunisie-annonce TN,2252818,0.6666666666666666
Sousse,1500.0,300.0,L,Tunisie-annonce TN,2519853,5.0
Ariana,180.0,90.0,L,Tunisie-annonce TN,2468451,2.0
Cite el khadra,1500.0,140.0,L,Tunisie-annonce TN,2823176,10.714285714285714
Ariana,12000.0,10000.0,L,Tunisie-annonce TN,2831212,1.2
Ben arous,520.0,98.0,L,Tunisie-annonce TN,2808278,5.3061224489795915
Djerba,296000.0,150.0,V,Jumia TN,L-TN-00095783,1973.3333333333333
Sousse,200000.0,115.0,V,Jumia TN,L-TN-00138570,1739.1304347826087
Ben arous,400.0,100.0,L,Tunisie-annonce TN,2828656,4.0
Sousse,256000.0,160.0,V,Jumia TN,L-TN-00155351,1600.0
Mannouba,550.0,96.0,L,Tunisie-annonce TN,2831200,5.729166666666667
Sousse,72000.0,50.0,V,Jumia TN,L-TN-00140088,1440.0
Banlieue Nord,2000.0,170.0,L,Tunisie-annonce TN,2790531,11.764705882352942
Ariana,120.0,180.0,L,Tunisie-annonce TN,1560611,0.6666666666666666
Ben arous,350.0,83.0,L,Tunisie-annonce TN,2831240,4.216867469879518
Banlieue Nord,590000.0,200.0,V,Jumia TN,L-TN-00115546,2950.0
Ben arous,580.0,105.0,L,Tunisie-annonce TN,2825889,5.523809523809524
Ben arous,180000.0,112.0,V,Jumia TN,L-TN-00121120,1607.142857142857
Ariana,110.0,130.0,L,Tunisie-annonce TN,2824055,0.8461538461538461
Sousse,225000.0,120.0,V,Jumia TN,L-TN-00163405,1875.0
Ariana,110.0,150.0,L,Tunisie-annonce TN,2809284,0.7333333333333333
Nabeul,800.0,500.0,L,Tunisie-annonce TN,2805270,1.6
Nabeul,1300.0,90.0,L,Tunisie-annonce TN,2806706,14.444444444444445
Banlieue Nord,495000.0,135.0,V,Jumia TN,L-TN-00113977,3666.6666666666665
Banlieue Nord,5000.0,1128.0,L,Tunisie-annonce TN,2806263,4.432624113475177
Ariana,85000.0,90.0,V,Jumia TN,L-TN-00158630,944.4444444444445
Banlieue Nord,1500.0,150.0,L,Tunisie-annonce TN,2826968,10.0
Ariana,1500.0,70.0,L,Tunisie-annonce TN,2826943,21.428571428571427
Banlieue Nord,1050.0,100.0,L,Tunisie-annonce TN,2819488,10.5
Bizerte,2000.0,297.0,L,Tunisie-annonce TN,2831230,6.734006734006734
Nabeul,1300000.0,156.0,V,Jumia TN,L-TN-00101455,8333.333333333334
Ben arous,470.0,110.0,L,Tunisie-annonce TN,2828998,4.2727272727272725
Ariana,750.0,50.0,L,Tunisie-annonce TN,2767013,15.0
Ben arous,133000.0,78.0,V,Jumia TN,L-TN-00113730,1705.128205128205
Ariana,780.0,60.0,L,Tunisie-annonce TN,2774529,13.0
Ariana,199000.0,132.0,V,Jumia TN,L-TN-00105452,1507.5757575757575
Tunis,1300.0,183.0,L,Tunisie-annonce TN,2754353,7.103825136612022
Nabeul,310000.0,100.0,V,Jumia TN,L-TN-00126537,3100.0
Ariana,550.0,30.0,L,Tunisie-annonce TN,2822680,18.333333333333332
Mahdia,100.0,80.0,L,Tunisie-annonce TN,2831260,1.25
Ariana,148400.0,106.0,V,Jumia TN,L-TN-00148829,1400.0
Banlieue Nord,1200.0,100.0,L,Tunisie-annonce TN,2563083,12.0
