Country,Price,Size,Status,Marketplace
Sousse,225000.0,120.0,A vendre,Jumia TN
Banlieue Nord,495000.0,135.0,A vendre,Jumia TN
Ariana,85000.0,90.0,A vendre,Jumia TN
Banlieue Nord,115000.0,1.0,A vendre,Jumia TN
Nabeul,1300000.0,156.0,A vendre,Jumia TN
Ariana,350000.0,1.0,A vendre,Jumia TN
Banlieue Nord,350000.0,1.0,A vendre,Jumia TN
Ben arous,133000.0,78.0,A vendre,Jumia TN
Ariana,199000.0,132.0,A vendre,Jumia TN
Nabeul,310000.0,100.0,A vendre,Jumia TN
Ariana,148400.0,106.0,A vendre,Jumia TN
Sousse,250000.0,142.0,A vendre,Jumia TN
Banlieue Nord,250000.0,168.0,A vendre,Jumia TN
Banlieue Nord,293000.0,73.0,A vendre,Jumia TN
Banlieue Nord,190000.0,76.0,A vendre,Jumia TN
Banlieue Nord,240000.0,100.0,A vendre,Jumia TN
Banlieue Nord,210000.0,1.0,A vendre,Jumia TN
Banlieue Nord,340000.0,1.0,A vendre,Jumia TN
Banlieue Nord,650000.0,200.0,A vendre,Jumia TN
Nabeul,110000.0,157.36478304742684,À Vendre,Tayara TN
Banlieue Nord,335000.0,1.0,A vendre,Jumia TN
Banlieue Nord,412000.0,157.36478304742684,À Vendre,Tayara TN
Sousse,105000.0,24.0,A vendre,Jumia TN
Banlieue Nord,222000.0,73.0,A vendre,Jumia TN
Nabeul,82000.0,40.0,A vendre,Jumia TN
Ariana,358000.0,170.0,A vendre,Jumia TN
Djerba,128400.0,130.0,A vendre,Jumia TN
Nabeul,240000.0,150.0,A vendre,Jumia TN
Banlieue Nord,270000.0,1.0,A vendre,Jumia TN
Sousse,255000.0,51.0,A vendre,Jumia TN
Banlieue Nord,250000.0,101.0,A vendre,Jumia TN
Banlieue Nord,240000.0,130.0,A vendre,Jumia TN
Nabeul,300000.0,153.0,A vendre,Jumia TN
Nabeul,130000.0,157.36478304742684,À Vendre,Tayara TN
Nabeul,135000.0,157.36478304742684,À Vendre,Tayara TN
