Country,Price,Size,Status,Marketplace
Jendouba,490.0,40,A louer,Tunisie-annonce TN
Ariana,175000.0,60,A vendre,Jumia TN
Tunis,900.0,,A louer,Tunisie-annonce TN
Banlieue Nord,2000.0,250,A louer,Tunisie-annonce TN
Banlieue Nord,420000.0,1,A vendre,Jumia TN
Ariana,260000.0,200,A vendre,Jumia TN
Banlieue Nord,2400.0,63,A louer,Tunisie-annonce TN
Banlieue Nord,2500.0,450,A louer,Tunisie-annonce TN
Ariana,850000.0,1,A vendre,Jumia TN
Banlieue Nord,6000.0,900,A louer,Tunisie-annonce TN
Banlieue Nord,390000.0,1,A vendre,Jumia TN
Banlieue Nord,385000.0,145,A vendre,Jumia TN
Banlieue Nord,340000.0,180,A vendre,Jumia TN
Ariana,159000.0,70,A vendre,Jumia TN
Banlieue Nord,800000.0,272,A vendre,Jumia TN
Sousse,340000.0,230,A vendre,Jumia TN
Sousse,270000.0,128,A vendre,Jumia TN
Sousse,150000.0,,A vendre,Jumia TN
Banlieue Nord,810000.0,148,A vendre,Jumia TN
Banlieue Nord,413000.0,153,A vendre,Jumia TN
Banlieue Nord,1800.0,400,A louer,Tunisie-annonce TN
Banlieue Nord,3000.0,400,A louer,Tunisie-annonce TN
Sousse,1700.0,40,A louer,Tunisie-annonce TN
Ben arous,150000.0,117,A vendre,Jumia TN
Banlieue Nord,950.0,80,A louer,Tunisie-annonce TN
Banlieue Nord,3000.0,200,A louer,Tunisie-annonce TN
Banlieue Nord,2000.0,130,A louer,Tunisie-annonce TN
Banlieue Nord,240000.0,85,A vendre,Jumia TN
Ariana,260000.0,122,A vendre,Jumia TN
Banlieue Nord,1050000.0,400,A vendre,Jumia TN
Banlieue Nord,3800.0,400,A louer,Tunisie-annonce TN
Ariana,850.0,74,A louer,Tunisie-annonce TN
Bizerte,230000.0,121,A vendre,Jumia TN
Ariana,580.0,110,A louer,Tunisie-annonce TN
Banlieue Nord,850000.0,1,A vendre,Jumia TN
Ben arous,750.0,138,A louer,Tunisie-annonce TN
Banlieue Nord,580000.0,1,A vendre,Jumia TN
