,Extraction_date,Marketplace,Reference,Category,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
4514,2018-07-16T08:30:13,Tayara TN,48ed13f4-7cb3-4b40-9e77-8eb2b7e3f508,Appartement,Un Appartement S2 Meublé Vue Sur Mer À Hamameth Mrezga,"Nabeul, Mrezga",Appartements,m²,3.0,,2500.0,"réf: SL105 On met à votre disposition la location d'un appartement s+2 de standing très bien et entièrement meublé au deuxième étage avec une splendide vue sur mer dans une belle résidence gardée avec une piscine commune. L'appartement situé à Hammamet Mrezga proche de toutes commodités dans la zone touristique et à 30 mètres de la plage. On y trouve un spacieux salon donnant sur un balcon avec une belle vue dégagée sur la mer et la piscine depuis le salon, une cuisine aménagée et équipée, une salle d'eau, une chambre à coucher avec deux lits et dressing et une chambre avec un lit de deux places, dressing et un balcon et une salle de bain. On dispose aussi de deux climatiseurs et une place de parking au sous sol. Un appartement qui convient idéalement à votre séjour estivale. Disponible la deuxième et la troisième semaine du mois de Juillet. Prix de la semaine : 2500 DT. Pour plus de renseignements veuillez contacter votre conseiller Wissem Ben Khalifa. Tel : 29777207 Fixe : 36176777 SOUKRA NÉGOCE.",https://www.tayara.tn/listings/appartements-2/48ed13f4-7cb3-4b40-9e77-8eb2b7e3f508/un-appartement-s2-meublé-vue-sur-mer-à-hamameth-mrezga
4515,2018-07-16T08:30:10,Tayara TN,47146244-980c-498f-978c-d8e6ef4f958e,Appartement,Appart S+3 Proche De Toutes Commodités,"Tunis, L'aouina",Appartements,m²,3.0,,800.0,"On met en location un appartement s+3, dans une résidence bien gardée avec double ascenseurs. il est composé d’un salon avec balcon, cuisine équipée avec des éléments de rangement, elle est complétée par un séchoir. une salle d'eau pour les invités. la partie nuit dessert trois chambres à coucher, une avec dressing, chacune qui se partagent une salle de bain commune. l'appartement est équipé avec chauffage central installé dans toute les pièces. n'hésitez pas à nous contacter au 58 28 20 28.",https://www.tayara.tn/listings/appartements-2/47146244-980c-498f-978c-d8e6ef4f958e/appart-s+3-proche-de-toutes-commodités
4519,2018-07-16T08:30:05,Tayara TN,46d597e7-a1e4-4a30-a7ef-cd76a5eeef69,Appartement,Location D'Un Duplex À Ain Zaghouan,"Tunis, L'aouina",Appartements,m²,4.0,,1950.0,"Opportunity Immobilière met à votre disposition la location d'un duplex : de haut standing à Ain zaghouan il est composè : de 3 chambres , 2 niveaux et un parking Prix : 1950 dt/mois Nous vous invitons à nous contacter pour une visite à prévoir à votre meilleure convenance en appelant le +216 25488313 _28 368 558 _25 48 99 97 frais de visite : 20dt",https://www.tayara.tn/listings/appartements-2/46d597e7-a1e4-4a30-a7ef-cd76a5eeef69/location-d'un-duplex-à-ain-zaghouan
4520,2018-07-16T08:30:04,Tayara TN,43976b39-114d-4cd0-bcd1-05028d7e1cb2,Appartement,Belle Apartement A Skanes Monastir,"Monastir, Monastir",Appartements,m²,3.0,,470.0,"Appartement à louer non meublé S+3 au 1èr étage individuelle spacieux et calme situé à SKANES sur route principale; route entre ""EL KOBBA"" et l'école des ingénieurs, à 300 mètres de la plage ""palmier""- 180 m² - 3 pièces - 1 salle de bain - 1 toilette - cuisine - salon - 3 balcons - escalier (avec placards et débarras intégrés).",https://www.tayara.tn/listings/appartements-2/43976b39-114d-4cd0-bcd1-05028d7e1cb2/belle-apartement-a-skanes-monastir
4521,2018-07-16T08:30:02,Tayara TN,45514c49-3ffa-44c5-a20f-b566dbacc74e,Appartement,Appartement (S+3) À Khzema Est Proche De La Zone Touristique,"Sousse, Sahloul",Appartements,m²,3.0,,600.0,"Cet appartement, (s+3) de 120 m² est situé au deuxième étage d'une petite résidence dans un quartier résidentiel, calme et doté d'un bon voisinage. un espace de vie très généreux vous accueille qui vous permettra d'installer confortablement un salon et une salle à manger. une salle d'eau pour les invités complète la partie jour La cuisine est aménagée et équipée par un placard. La partie nuit comporte trois chambres à coucher ,une chambres à coucher bénéficie d'un placard ,elle se partagent une salle de bain avec baignoire. Équipements -Chauffage central -placard Soyez le bienvenue à notre agence Immobilière NEW WAY(agréée) Nouvelle génération Rue Hassen Ben Said 4051 khezema ouest sousse. Votre conseillère : ACHWEK SEDDIK 28 615 615 / (Viber et Whatsapp) /73 275 544 NEW WAY(agréée) Nouvelle génération Nos services : * Évaluation gratuite * Visite gratuite * Connaissance détaillé du marché * Conseils juridique et financier * Accompagnement jusqu’a la signature du contrat CONSEIL & TRANSACTION NEW WAY(agréée) Nouvelle génération",https://www.tayara.tn/listings/appartements-2/45514c49-3ffa-44c5-a20f-b566dbacc74e/appartement-(s+3)-à-khzema-est-proche-de-la-zone-touristique
4522,2018-07-16T08:30:00,Tayara TN,46b8e44c-099b-4b4e-8290-9a2c5fea997a,Appartement,Appartement A Louer S+3,"Sousse, Akouda",Appartements,m²,3.0,,200.0,appartement a louer s+3 : place : souviva a louer 200d par jour ( dans le mois de juillet ) et 280d par jour ( dans le mois de aout ),https://www.tayara.tn/listings/appartements-2/46b8e44c-099b-4b4e-8290-9a2c5fea997a/appartement-a-louer-s+3
4523,2018-07-16T08:28:51,Tayara TN,450a71cc-f454-4293-aa6c-78dac696aca6,Appartement,Un Appartement S+3 De 130 M² À Boumhel Bassatine,"Ben arous, Boumhel",Appartements,m²,3.0,,680.0,"Cet appartement est situé dans une résidence sécurisée et proche de toutes commodités. La partie jour abrite un salon lumineux . Une salle d’eau pour les invités est disponible. Un couloir nous mène à la partie nuit qui loge trois chambres à coucher qui partageant une salle de bain. La cuisine est équipée par une plaque, haute et four. Une places de parking est disponible.",https://www.tayara.tn/listings/appartements-2/450a71cc-f454-4293-aa6c-78dac696aca6/un-appartement-s+3-de-130-m²-à-boumhel-bassatine
4525,2018-07-16T08:28:44,Tayara TN,47f83c7a-0fd5-440b-82d7-747e5a815942,Appartement,S+2 Meuble Av Commandant Bejaoui Sousse Medina,"Sousse, Sousse Médina",Appartements,m²,2.0,,85.0,a louer un S+2 av commandant Bejaoui meuble compose de 2 chambres a coucher cuisine salle de bain prix 85 dinars min 3 nuits contactez Mr morched 98 489 410,https://www.tayara.tn/listings/appartements-2/47f83c7a-0fd5-440b-82d7-747e5a815942/s+2-meuble-av-commandant-bejaoui-sousse-medina
4526,2018-07-16T08:28:40,Tayara TN,44cd45d7-cbe0-46c4-9c7d-b5229612dd94,Appartement,Studio,"Sousse, Kantaoui",Appartements,m²,1.0,,0.0,S+1 situé à kantaoui au pret de Jazz café.50 mètre de la plage et 10 minutes de port el kantaoui.,https://www.tayara.tn/listings/appartements-2/44cd45d7-cbe0-46c4-9c7d-b5229612dd94/studio
4527,2018-07-16T08:28:39,Tayara TN,47e73866-288c-42c6-9678-7d3bc022e76a,Appartement,Appartement Neuf El Gazela,"Ariana, Ghazela",Appartements,m²,2.0,,550.0,"A louer appartement S+2 cité la Gazela ,2 c a coucher , Salon Salle a manger , cuisine fermée . Place de parking exterieur ,6 etages avec ascenseur . Visite sur rendez vous avec l'agence . Tel : 95 168 380",https://www.tayara.tn/listings/appartements-2/47e73866-288c-42c6-9678-7d3bc022e76a/appartement-neuf-el-gazela-
4529,2018-07-16T08:28:34,Tayara TN,47aded62-d882-4b03-a978-4d5c9342107e,Appartement,Etage De Villa S Plus 4 A Ennasr 2 Wb947,"Ariana, Ennasr",Appartements,m²,4.0,,1250.0,"a louer pour 1250 dt par mois un etage de villa s plus 4 (210m) avec chauffage central , une salle de bain et une salle d'eau , terrasse , buanderie , garage pour 2 voitures (wb947)",https://www.tayara.tn/listings/appartements-2/47aded62-d882-4b03-a978-4d5c9342107e/etage-de-villa-s-plus-4-a-ennasr-2-wb947
